gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Topic
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,20,20,20,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,100,100,20,40,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,20,20,20,40,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,40,40,20,40,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,100,60,20,60,No,Bad,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-04,A,F,Father,60,40,20,80,Yes,Bad,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,40,20,20,20,No,Bad,Above-7,Math
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,60,20,20,40,Yes,Good,Under-7,Math
F,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,40,20,60,Yes,Good,Under-7,Math
F,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,80,100,40,80,Yes,Good,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,60,100,40,100,Yes,Good,Under-7,Math
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,20,20,Yes,Good,Under-7,Math
M,KW,KuwaIT,lowerlevel,G-04,A,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,lebanon,lebanon,MiddleSchool,G-08,A,F,Father,100,20,20,20,No,Bad,Above-7,Math
F,KW,KuwaIT,MiddleSchool,G-08,A,F,Mum,80,80,60,100,No,Bad,Above-7,Math
F,KW,KuwaIT,MiddleSchool,G-06,A,F,Father,40,100,40,80,Yes,Good,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,40,40,100,100,No,Bad,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,60,20,40,100,No,Bad,Above-7,Math
F,KW,KuwaIT,MiddleSchool,G-07,A,F,Mum,80,20,40,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Mum,80,60,100,100,Yes,Good,Under-7,IT
F,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,100,100,40,100,No,Bad,Above-7,IT
F,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,20,100,No,Bad,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,40,20,100,No,Bad,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,60,No,Bad,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,20,80,Yes,Good,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,40,100,Yes,Good,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,40,100,Yes,Bad,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-08,A,F,Father,40,20,20,40,No,Bad,Above-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,F,Father,80,100,60,60,Yes,Good,Under-7,Science
F,KW,KuwaIT,MiddleSchool,G-08,A,F,Father,40,100,40,40,No,Bad,Under-7,Arabic
F,KW,KuwaIT,MiddleSchool,G-08,A,F,Father,40,100,60,80,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,100,20,Yes,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-07,A,F,Father,20,20,20,60,Yes,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-05,A,F,Father,20,40,20,100,No,Bad,Above-7,English
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,20,100,No,Bad,Above-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,40,No,Bad,Above-7,English
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Mum,20,20,20,40,Yes,Good,Above-7,Science
F,Egypt,Egypt,MiddleSchool,G-07,A,F,Father,60,60,40,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-06,A,F,Father,20,20,20,20,No,Bad,Above-7,IT
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,F,Father,60,100,40,80,Yes,Good,Under-7,Science
F,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,80,No,Bad,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,100,20,60,No,Good,Under-7,IT
M,KW,KuwaIT,HighSchool,G-09,A,F,Father,20,20,20,40,Yes,Good,Above-7,IT
F,KW,KuwaIT,HighSchool,G-09,A,F,Father,40,40,40,100,Yes,Good,Under-7,IT
F,KW,KuwaIT,HighSchool,G-09,A,F,Father,40,40,40,100,No,Bad,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,100,20,20,80,No,Good,Above-7,Quran
M,KW,KuwaIT,lowerlevel,G-05,A,F,Father,20,20,20,40,No,Bad,Above-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Mum,80,20,40,100,Yes,Good,Under-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Mum,20,100,100,100,Yes,Good,Under-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Father,40,40,60,80,Yes,Good,Under-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Father,100,20,20,80,No,Bad,Above-7,English
M,KW,KuwaIT,HighSchool,G-12,A,F,Father,40,20,20,60,No,Good,Above-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Father,60,100,20,100,No,Bad,Under-7,English
F,KW,KuwaIT,HighSchool,G-11,A,F,Mum,60,80,20,80,Yes,Good,Under-7,Science
M,KW,KuwaIT,HighSchool,G-12,A,F,Mum,20,60,20,40,No,Bad,Above-7,English
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,100,Yes,Good,Above-7,Math
M,USA,USA,MiddleSchool,G-08,B,F,Father,20,20,20,20,Yes,Good,Above-7,Math
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,20,Yes,Good,Above-7,Math
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,40,100,20,60,Yes,Good,Under-7,Math
F,USA,USA,MiddleSchool,G-07,A,F,Father,40,40,40,100,No,Good,Under-7,Math
F,Jordan,Jordan,lowerlevel,G-05,A,F,Mum,40,20,40,100,No,Good,Above-7,English
M,KW,KuwaIT,HighSchool,G-10,A,F,Father,60,80,40,100,Yes,Good,Under-7,IT
M,venzuela,venzuela,HighSchool,G-10,A,F,Mum,100,100,80,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,HighSchool,G-10,A,F,Father,20,20,20,20,Yes,Bad,Under-7,IT
M,KW,KuwaIT,HighSchool,G-10,A,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,HighSchool,G-12,A,F,Father,20,20,20,20,No,Bad,Above-7,English
F,KW,KuwaIT,HighSchool,G-12,A,F,Father,40,20,20,40,No,Bad,Above-7,English
F,USA,USA,HighSchool,G-12,A,F,Mum,80,80,40,100,Yes,Good,Under-7,English
F,USA,USA,HighSchool,G-12,A,F,Mum,80,80,40,40,Yes,Good,Under-7,IT
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Father,40,100,20,40,No,Bad,Under-7,IT
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Father,40,40,20,20,Yes,Good,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,40,40,20,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,20,No,Bad,Under-7,Math
F,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,40,40,20,Yes,Bad,Above-7,English
M,KW,KuwaIT,MiddleSchool,G-07,B,F,Father,20,20,20,20,No,Bad,Under-7,IT
M,Jordan,Jordan,MiddleSchool,G-07,A,F,Mum,60,100,40,100,Yes,Good,Under-7,Quran
M,Iran,Iran,HighSchool,G-09,A,F,Mum,20,80,40,60,Yes,Good,Under-7,IT
M,KW,KuwaIT,HighSchool,G-09,A,F,Father,100,100,40,40,Yes,Good,Under-7,IT
M,KW,KuwaIT,HighSchool,G-11,A,F,Father,20,20,20,20,No,Bad,Above-7,Quran
F,lebanon,lebanon,MiddleSchool,G-07,B,F,Mum,100,100,60,60,Yes,Bad,Under-7,Math
M,KW,KuwaIT,MiddleSchool,G-07,A,F,Father,20,20,20,100,Yes,Bad,Under-7,Math
M,KW,KuwaIT,lowerlevel,G-02,A,F,Father,20,40,20,80,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,100,Yes,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,60,No,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,60,80,60,20,Yes,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,F,Father,80,20,100,60,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,80,20,60,No,Bad,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,40,No,Bad,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,100,20,60,Yes,Good,Above-7,IT
