Bangla,English,Botany,Zoology,Physics,Chemistry,Math,Ict,Gpa
C,C,C,D,C,C,D,C,5
B,D,C,C,C,D,F,C,5
C,C,C,C,D,C,F,C,5
B,C,D,C,D,D,F,C,5
C,D,F,C,C,C,D,C,5
C,C,C,C,D,D,D,C,4.92
B,C,C,D,C,C,F,C,4.92
D,D,C,C,D,C,F,C,4.92
C,D,C,D,D,D,D,C,4.83
C,C,D,C,D,D,F,C,4.83
B,C,C,D,D,D,F,C,4.83
F,C,C,C,D,D,F,C,4.83
B,C,C,F,D,D,F,C,4.83
C,C,D,D,C,C,F,C,4.83
C,C,C,C,C,D,F,C,4.83
B,C,D,C,D,C,F,C,4.75
C,C,C,D,D,D,D,D,4.75
C,D,D,C,C,D,F,C,4.75
C,C,D,D,C,C,F,C,4.75
C,D,D,C,D,C,F,C,4.75
B,C,D,C,C,C,F,C,4.71
B,D,C,C,C,C,F,D,4.71
B,D,D,C,D,D,F,C,4.67
B,C,D,D,F,C,F,C,4.67
C,D,D,C,D,D,F,C,4.67
C,C,D,D,D,C,F,C,4.67
B,C,F,D,C,D,F,C,4.67
B,F,C,D,D,D,F,C,4.67
C,D,C,C,D,D,F,C,4.67
B,C,D,C,C,C,F,C,4.64
B,D,D,C,D,C,F,C,4.64
C,C,D,C,C,C,D,C,4.64
D,D,D,D,D,C,F,C,4.58
C,C,D,D,F,C,F,C,4.58
C,D,F,C,D,D,F,C,4.58
C,C,D,C,D,F,F,C,4.58
C,D,D,C,D,D,F,C,4.58
F,D,D,C,D,D,F,C,4.58
C,D,D,D,C,F,F,C,4.58
C,D,D,C,C,C,D,C,4.5
C,C,D,D,D,D,F,C,4.5
B,C,D,D,D,C,F,D,4.5
B,D,D,C,C,F,F,C,4.5
B,C,F,C,D,D,F,D,4.5
C,C,D,C,C,D,F,D,4.5
D,C,F,D,D,C,F,C,4.5
D,C,F,C,D,C,F,F,4.5
C,C,D,C,D,C,F,C,4.5
C,D,D,D,D,D,F,C,4.5
C,D,D,C,D,F,F,C,4.5
C,D,C,C,D,D,D,C,4.43
C,D,C,C,F,D,F,C,4.43
B,D,D,D,D,D,F,C,4.42
C,D,D,D,D,D,F,D,4.42
D,C,D,D,D,D,F,C,4.42
C,C,D,D,D,D,F,C,4.42
D,C,D,D,D,C,F,C,4.42
C,C,F,C,D,D,F,C,4.42
C,D,D,D,D,C,D,D,4.42
C,D,F,C,D,F,D,D,4.42
B,D,C,D,F,F,F,C,4.42
C,D,D,D,D,D,F,C,4.42
C,C,F,D,D,D,F,C,4.42
C,D,D,C,D,D,F,D,4.42
B,C,D,D,C,C,F,C,4.36
B,C,F,F,D,D,F,C,4.33
C,C,D,D,D,D,F,C,4.33
B,D,F,D,D,D,F,D,4.33
C,C,D,C,F,F,F,D,4.33
D,C,D,F,F,C,F,C,4.33
D,C,D,C,F,D,F,D,4.33
D,C,F,D,D,D,F,C,4.33
D,C,F,C,D,D,F,C,4.33
