Bangla,English,Botany,Zoology,Physics,Chemistry,Math,Ict,Gpa
71,61,65,59,61,62,57,69,5
81,58,68,60,62,57,44,66,5
71,61,60,69,54,66,48,62,5
80,70,55,60,57,53,42,62,5
60,52,46,63,62,65,53,65,5
61,66,61,61,55,58,50,70,4.92
78,64,60,53,64,60,34,68,4.92
53,56,63,68,59,63,49,64,4.92
70,56,65,59,57,58,54,70,4.83
72,70,59,61,59,54,42,62,4.83
79,65,63,55,55,54,48,60,4.83
,63,61,63,59,59,43,64,4.83
81,64,61,49,53,59,41,60,4.83
73,62,52,55,62,60,41,63,4.83
60,60,66,64,62,58,32,61,4.83
76,64,58,65,56,62,36,63,4.75
66,72,61,53,54,56,53,58,4.75
63,58,55,64,64,55,42,68,4.75
62,60,50,59,61,66,38,71,4.75
60,57,59,61,54,60,44,67,4.75
81,71,58,62,62,67,34,68,4.71
81,56,69,60,63,65,41,58,4.71
84,53,57,64,51,52,43,71,4.67
83,63,52,58,41,62,42,71,4.67
67,55,53,62,58,56,47,61,4.67
60,62,52,59,55,61,47,63,4.67
81,64,48,55,60,58,31,60,4.67
80,48,61,56,54,53,38,64,4.67
60,54,62,62,52,54,42,60,4.67
79,67,57,65,61,61,38,69,4.64
83,58,54,62,59,62,47,69,4.64
71,61,50,60,64,65,50,61,4.64
58,53,57,58,59,69,49,66,4.58
63,61,56,58,47,60,43,69,4.58
60,58,49,67,56,56,48,62,4.58
74,60,56,60,58,44,42,60,4.58
67,54,56,62,58,56,40,60,4.58
,52,56,62,55,56,38,69,4.58
73,55,54,54,65,46,41,61,4.58
64,57,50,60,63,61,51,66,4.5
66,60,56,58,59,55,42,70,4.5
77,62,53,57,51,64,40,59,4.5
83,53,54,62,61,49,38,61,4.5
75,64,48,62,55,56,39,55,4.5
71,65,53,62,60,50,34,56,4.5
57,66,49,54,53,65,41,61,4.5
57,67,48,60,56,62,49,47,4.5
61,61,51,62,51,66,32,61,4.5
60,50,57,53,57,54,48,66,4.5
60,57,53,61,57,46,39,65,4.5
67,56,61,64,57,59,50,64,4.43
73,58,63,63,45,55,49,64,4.43
85,53,57,59,55,51,36,67,4.42
73,58,57,55,56,54,49,59,4.42
54,60,58,58,54,56,44,70,4.42
62,60,59,57,52,59,38,61,4.42
57,65,53,55,57,60,33,67,4.42
70,65,45,60,52,59,32,60,4.42
60,51,50,52,54,60,55,59,4.42
66,50,48,60,57,48,53,58,4.42
79,52,62,51,46,48,40,61,4.42
61,53,57,56,55,54,41,60,4.42
63,63,49,57,53,53,38,60,4.42
62,50,54,61,54,53,41,55,4.42
78,65,57,59,60,61,33,69,4.36
82,71,48,47,52,50,32,67,4.33
61,62,51,57,52,59,39,68,4.33
81,59,44,55,59,53,43,55,4.33
60,72,56,62,44,49,41,54,4.33
55,60,52,49,43,67,48,62,4.33
54,62,54,63,49,54,38,59,4.33
52,60,48,55,57,59,40,61,4.33
56,62,48,60,51,52,39,64,4.33
61,53,45,54,53,50,48,61,4.33
60,61,59,60,50,59,49,68,4.29
67,57,59,60,59,56,46,61,4.29
75,60,47,62,59,62,41,57,4.29
73,66,49,59,48,59,35,70,4.25
79,58,43,50,59,59,42,63,4.25
76,62,59,61,51,47,34,57,4.25
75,57,48,53,56,53,36,60,4.25
69,60,51,57,53,54,40,54,4.25
69,63,48,43,54,56,38,66,4.25
57,56,50,52,60,58,45,58,4.25
56,67,46,56,47,67,34,62,4.25
58,54,56,50,50,63,48,54,4.25
55,65,62,57,40,58,31,64,4.25
58,56,54,57,47,65,31,64,4.25
60,46,57,60,49,54,49,56,4.25
45,58,48,54,49,60,49,67,4.25
68,60,53,53,53,46,37,60,4.25
56,58,56,60,58,43,45,54,4.25
53,65,49,57,47,60,34,65,4.25
64,55,52,62,45,53,34,64,4.25
61,63,45,58,61,48,40,50,4.25
51,64,45,55,45,49,50,65,4.25
79,68,57,59,47,51,55,61,4.21
78,63,56,68,56,56,39,57,4.21
74,57,51,62,53,56,54,56,4.21
75,47,55,55,58,56,31,69,4.17
69,65,50,50,55,48,52,57,4.17
57,64,57,57,55,51,33,68,4.17
69,57,57,57,55,48,41,57,4.17
69,52,56,57,55,49,32,60,4.17
51,57,43,55,58,48,50,68,4.17
57,56,44,54,62,62,27,67,4.17
67,56,40,46,57,54,44,63,4.17
60,56,56,61,44,52,39,58,4.17
70,61,41,55,47,55,33,61,4.17
48,53,53,56,53,63,33,60,4.17
48,60,49,50,48,62,39,62,4.17
64,53,47,61,52,47,32,60,4.17
60,53,57,57,46,53,30,60,4.17
70,68,59,58,52,63,34,67,4.14
82,52,57,56,49,49,40,68,4.14
70,61,61,65,47,56,31,59,4.14
63,62,51,59,55,59,35,56,4.08
65,47,59,63,58,54,36,55,4.08
61,65,55,56,49,55,29,64,4.08
76,50,49,49,58,52,35,62,4.08
73,53,61,57,43,48,31,59,4.08
65,60,54,56,52,43,33,61,4.08
54,62,57,56,48,48,33,66,4.08
82,50,55,49,55,35,36,62,4.08
63,60,47,50,54,51,34,64,4.08
53,60,53,50,52,55,35,64,4.08
71,60,40,56,45,51,37,62,4.08
50,60,50,47,41,57,58,58,4.08
53,53,55,59,52,44,43,61,4.08
62,56,49,46,58,44,42,60,4.08
46,56,55,48,43,60,40,69,4.08
65,57,46,60,51,48,38,52,4.08
61,56,46,56,54,51,38,53,4.08
51,60,44,53,49,50,43,65,4.08
62,60,46,41,53,44,38,60,4.08
50,60,45,51,50,46,42,60,4.08
76,58,51,57,52,58,48,69,4.07
79,63,49,59,51,56,40,67,4.07
72,60,51,59,50,56,38,64,4.07
76,58,52,52,49,62,39,60,4.07
71,68,41,43,56,66,38,64,4.07
77,56,52,60,51,57,33,69,4
72,61,49,62,54,58,36,59,4
71,62,57,54,50,64,27,59,4
66,66,55,64,41,53,46,50,4
80,65,42,43,55,45,29,63,4
61,50,43,61,57,49,40,61,4
64,60,51,58,54,47,32,56,4
61,56,42,50,55,58,35,63,4
52,55,52,61,51,56,37,56,4
56,56,46,59,47,56,31,68,4
63,67,47,61,55,44,32,50,4
48,58,50,62,56,64,30,50,4
57,51,57,57,48,49,42,57,4
66,60,52,50,52,45,32,60,4
52,62,52,54,46,51,36,64,4
54,42,47,57,55,56,48,58,4
73,63,46,57,47,45,30,56,4
60,58,53,64,30,37,50,64,4
60,62,55,57,48,44,39,50,4
58,60,45,52,51,55,40,54,4
67,56,45,46,53,50,40,58,4
50,54,49,59,54,63,34,51,4
62,61,48,59,44,53,40,47,4
60,52,57,59,50,40,45,48,4
43,55,44,57,42,54,60,53,4
57,56,44,60,45,46,41,56,4
73,58,52,53,51,49,57,59,3.93
63,60,55,61,48,53,37,56,3.93
60,60,55,55,48,53,28,71,3.93
55,65,53,51,51,61,25,68,3.93
58,62,51,60,47,55,38,58,3.93
83,52,47,47,55,47,37,60,3.93
56,52,52,61,53,53,35,61,3.93
63,51,50,61,47,65,29,57,3.93
61,60,54,53,52,56,20,65,3.93
63,55,56,57,50,52,34,58,3.92
61,65,49,58,48,59,30,47,3.92
61,54,47,54,49,56,36,59,3.92
63,48,46,53,55,48,31,66,3.92
66,50,46,56,40,50,34,61,3.92
52,55,50,56,48,47,39,54,3.92
50,54,46,41,61,50,41,48,3.92
77,60,51,56,59,59,37,57,3.86
75,61,56,53,59,48,34,59,3.86
47,57,54,59,51,55,49,60,3.86
53,65,45,51,45,51,51,65,3.86
